Device,Time,PH,ORP,Salinity,Temperature,Flow status
Device 03,2024-01-18 00:16:27,7.5,546,5517,30,1
Device 03,2024-01-18 00:46:27,7.23,529,5219,30,1
Device 03,2024-01-18 00:46:27,7.5,550,5469,30,1
Device 03,2024-01-18 01:16:27,7.23,532,5219,30,1
Device 03,2024-01-18 01:16:27,7.5,553,5478,30,1
Device 03,2024-01-18 01:46:27,7.23,535,5222,30,1
Device 03,2024-01-18 01:46:27,7.5,557,5472,30,1
Device 03,2024-01-18 02:10:13,7.5,560,5467,30,1
Device 03,2024-01-18 02:16:27,7.24,538,5237,30,1
Device 03,2024-01-18 02:16:28,7.5,559,5481,30,1
Device 03,2024-01-18 02:20:28,7.5,559,5481,30,1
Device 03,2024-01-18 02:20:30,7.5,559,5481,30,1
Device 03,2024-01-18 09:30:32,7.2,538,4739,22,1
Device 03,2024-01-18 09:31:33,7.4,499,5508,27,1
Device 03,2024-01-18 09:39:37,7.5,517,5484,28,1
Device 03,2024-01-18 09:45:40,7.5,533,5487,29,1
Device 03,2024-01-18 09:46:30,7.5,535,5498,29,1
Device 03,2024-01-18 09:56:45,7.5,549,5492,29,1
Device 03,2024-01-18 10:16:30,7.24,516,5246,29,1
Device 03,2024-01-18 10:16:30,7.5,537,5496,28,1
Device 03,2024-01-18 10:23:59,7.5,532,5505,28,1
Device 03,2024-01-18 10:46:30,7.5,526,5496,28,1
Device 03,2024-01-18 11:46:30,7.26,498,5244,28,1
Device 03,2024-01-18 13:06:30,7.5,514,5489,29,1
Device 03,2024-01-18 13:44:23,7.5,456,5493,29,1
Device 03,2024-01-18 13:48:26,7.5,461,5487,29,1
Device 03,2024-01-18 13:53:15,7.5,463,5477,29,1
Device 03,2024-01-18 14:20:36,7.5,477,5472,29,1
Device 03,2024-01-18 14:23:15,7.5,479,5483,29,1
Device 03,2024-01-18 14:53:15,7.25,471,5247,29,1
Device 03,2024-01-18 14:53:16,7.5,492,5500,29,1
Device 03,2024-01-18 14:58:47,7.5,493,5498,29,1
Device 03,2024-01-18 15:23:15,7.25,477,5248,29,1
Device 03,2024-01-18 16:23:16,7.24,478,5243,30,1
Device 03,2024-01-18 16:23:16,7.5,499,5489,30,1
Device 03,2024-01-18 16:53:16,7.25,472,5238,30,1
Device 03,2024-01-18 16:53:16,7.5,493,5493,30,1
Device 03,2024-01-18 17:23:16,7.25,469,5251,30,1
Device 03,2024-01-18 17:23:16,7.5,490,5507,30,1
Device 03,2024-01-18 17:53:16,7.25,466,5234,30,1
Device 03,2024-01-18 17:53:16,7.5,487,5491,30,1
Device 03,2024-01-18 18:15:50,7.5,484,5514,30,1
Device 03,2024-01-18 18:23:16,7.26,463,5237,30,1
Device 03,2024-01-18 19:23:16,7.26,468,5254,30,1
Device 03,2024-01-18 19:53:17,7.27,470,5260,30,1
Device 03,2024-01-18 20:23:17,7.27,472,5255,30,1
Device 03,2024-01-18 20:53:17,7.27,473,5261,29,1
Device 03,2024-01-19 11:20:23,7.5,455,5833,27,1
Device 03,2024-01-19 11:21:24,7.5,469,6511,27,1
Device 03,2024-01-19 11:22:25,7.5,483,5802,27,1
Device 03,2024-01-19 11:23:21,7.22,474,5871,27,1
Device 03,2024-01-19 11:23:21,7.5,495,6121,27,1
Device 03,2024-01-19 11:23:26,7.5,496,6297,27,1
Device 03,2024-01-19 11:24:26,7.5,512,6090,27,1
Device 03,2024-01-19 11:25:27,7.5,525,5888,27,1
Device 03,2024-01-19 11:26:28,7.5,538,6099,27,1
Device 03,2024-01-19 11:28:29,7.5,557,6124,27,1
Device 03,2024-01-19 11:29:30,7.5,565,5829,27,1
Device 03,2024-01-19 11:31:31,7.5,583,6228,27,1
Device 03,2024-01-19 11:32:32,7.5,590,5751,27,1
Device 03,2024-01-19 11:53:21,7.26,546,5355,27,1
Device 03,2024-01-19 13:23:21,7.27,516,5271,27,1
Device 03,2024-01-19 13:53:21,7.25,505,5241,27,1
Device 03,2024-01-19 13:53:22,7.5,526,5493,28,1
Device 03,2024-01-19 13:54:24,7.5,525,5501,28,1
Device 03,2024-01-19 14:23:21,7.26,501,5257,28,1
Device 03,2024-01-19 15:36:09,7.5,569,5515,28,1
Device 03,2024-01-19 15:37:10,7.5,588,5528,28,1
Device 03,2024-01-19 15:42:12,7.5,572,5518,28,1
Device 03,2024-01-19 15:45:14,7.5,566,5825,28,1
Device 03,2024-01-19 15:46:14,7.5,566,5509,28,1
Device 03,2024-01-19 15:53:22,7.25,540,5262,28,1
Device 03,2024-01-19 15:53:22,7.5,561,5518,28,1
Device 03,2024-01-19 16:05:21,7.5,555,5795,28,1
Device 03,2024-01-19 16:06:21,7.5,555,5518,28,1
Device 03,2024-01-19 16:23:22,7.5,550,5498,28,1
Device 03,2024-01-19 16:53:22,7.5,546,5512,29,1
Device 03,2024-01-19 17:23:22,7.5,542,5499,29,1
Device 03,2024-01-19 17:53:22,7.24,522,5242,29,1
Device 03,2024-01-19 17:53:22,7.5,543,5502,29,1
Device 03,2024-01-19 18:20:06,7.5,539,5503,29,1
Device 03,2024-01-19 18:23:22,7.24,518,5254,29,1
Device 03,2024-01-19 18:23:22,7.5,539,5509,29,1
Device 03,2024-01-19 18:53:22,7.22,505,5232,29,1
Device 03,2024-01-19 18:53:23,7.5,526,5479,29,1
Device 03,2024-01-19 19:00:26,7.5,523,5475,29,1
Device 03,2024-01-19 19:05:29,7.5,522,5832,29,1
Device 03,2024-01-19 19:06:29,7.5,520,5483,29,1
Device 03,2024-01-19 19:23:22,7.21,498,5229,29,1
Device 03,2024-01-19 19:23:22,7.5,519,5488,29,1
Device 03,2024-01-19 19:53:23,7.5,507,5460,29,1
Device 03,2024-01-19 20:23:23,7.23,509,5252,30,1
Device 03,2024-01-19 20:23:23,7.5,530,5508,29,1
Device 03,2024-01-19 20:30:03,7.5,536,5514,29,1
Device 03,2024-01-19 20:50:19,7.5,536,5514,29,1
Device 03,2024-01-20 09:09:35,7.4,566,4675,25,1
Device 03,2024-01-20 09:10:36,7.5,558,5569,26,1
Device 03,2024-01-20 09:23:26,7.26,556,5298,27,1
Device 03,2024-01-20 09:28:44,7.5,613,5553,27,1
Device 03,2024-01-20 10:23:27,7.27,540,5297,27,1
Device 03,2024-01-20 10:53:27,7.27,517,5299,27,1
Device 03,2024-01-20 12:23:27,7.28,516,5294,27,1
Device 03,2024-01-20 12:53:27,7.26,516,5285,27,1
Device 03,2024-01-20 13:23:27,7.28,514,5283,27,1
Device 03,2024-01-20 13:53:27,7.22,505,5226,27,1
Device 03,2024-01-20 13:53:28,7.5,526,5488,28,1
Device 03,2024-01-20 14:23:28,7.23,504,5245,28,1
Device 03,2024-01-20 14:23:28,7.5,525,5499,28,1
Device 03,2024-01-20 15:23:28,7.27,517,5276,28,1
Device 03,2024-01-20 15:53:28,7.27,517,5271,28,1
Device 03,2024-01-20 17:23:28,7.28,517,5282,29,1
Device 03,2024-01-20 17:53:28,7.29,519,5275,29,1
Device 03,2024-01-20 18:23:28,7.27,518,5265,29,1
Device 03,2024-01-20 18:53:29,7.27,509,5245,30,1
Device 03,2024-01-20 19:23:29,7.25,509,5258,30,1
Device 03,2024-01-20 19:23:29,7.5,530,5503,30,1
Device 03,2024-01-20 19:51:36,7.5,523,5602,30,1
Device 03,2024-01-20 19:52:37,7.5,523,5463,30,1
Device 03,2024-01-20 19:53:29,7.25,503,5215,30,1
Device 03,2024-01-20 19:53:29,7.5,524,5469,30,1
Device 03,2024-01-20 20:23:29,7.29,531,5263,30,1
Device 03,2024-01-21 09:13:38,7.5,569,5562,27,1
Device 03,2024-01-21 11:23:33,7.34,526,5300,27,1
Device 03,2024-01-21 12:53:33,7.34,522,5297,27,1
Device 03,2024-01-21 13:53:33,7.31,514,5264,28,1
Device 03,2024-01-21 14:23:34,7.31,516,5273,28,1
Device 03,2024-01-21 17:23:34,7.35,531,5291,29,1
Device 03,2024-01-21 19:53:35,7.35,534,5250,30,1
Device 03,2024-01-21 20:23:35,7.38,561,5288,30,1
Device 03,2024-01-21 21:23:35,7.38,612,5303,29,1
Device 03,2024-01-22 16:54:26,7.5,592,5584,27,1
Device 03,2024-01-22 17:53:42,7.33,529,5325,28,1
Device 03,2024-01-22 18:23:42,7.34,526,5326,28,1
Device 03,2024-01-22 18:53:42,7.34,514,5309,29,1
Device 03,2024-01-22 19:38:25,7.4,533,5558,29,1
Device 03,2024-01-22 19:53:30,7.5,547,5550,29,1
Device 03,2024-01-22 19:53:42,7.16,527,5283,29,1
Device 03,2024-01-22 19:53:43,7.5,548,5550,29,1
Device 03,2024-01-22 20:00:32,7.5,563,5546,29,1
Device 03,2024-01-22 20:09:35,7.4,580,5545,29,1
Device 03,2024-01-22 20:14:37,7.4,598,5567,29,1
Device 03,2024-01-22 20:21:40,7.4,616,5573,29,1
Device 03,2024-01-22 20:23:43,7.4,622,5596,29,1
Device 03,2024-01-22 20:26:42,7.4,633,5575,29,1
Device 03,2024-01-22 20:34:44,7.4,649,5593,29,1
Device 03,2024-01-22 20:43:48,7.4,666,5583,28,1
Device 03,2024-01-22 20:48:50,7.3,684,5588,28,1
Device 03,2024-01-23 08:42:47,7.3,560,5689,24,1
Device 03,2024-01-23 08:48:49,7.4,580,5673,25,1
Device 03,2024-01-23 08:51:50,7.4,598,5670,26,1
Device 03,2024-01-23 08:53:46,7.4,612,5666,26,1
Device 03,2024-01-23 08:54:52,7.4,621,5680,26,1
Device 03,2024-01-23 08:56:53,7.4,642,5666,26,1
Device 03,2024-01-23 08:58:54,7.4,661,5828,26,1
Device 03,2024-01-23 08:59:55,7.4,672,5666,26,1
Device 03,2024-01-23 09:47:12,7.4,676,5668,26,1
Device 03,2024-01-23 09:53:14,7.4,658,5671,26,1
Device 03,2024-01-23 09:53:47,7.4,656,5668,26,1
Device 03,2024-01-23 09:59:16,7.4,642,5670,26,1
Device 03,2024-01-23 10:05:18,7.4,626,5664,26,1
Device 03,2024-01-23 10:13:21,7.4,610,5660,26,1
Device 03,2024-01-23 10:21:24,7.4,594,5670,26,1
Device 03,2024-01-23 10:23:47,7.4,591,5669,26,1
Device 03,2024-01-23 10:34:28,7.4,577,5673,25,1
Device 03,2024-01-23 10:53:47,7.4,564,5670,25,1
Device 03,2024-01-23 10:58:36,7.4,561,5675,25,1
Device 03,2024-01-23 11:23:47,7.4,556,5683,25,1
Device 03,2024-01-23 11:53:47,7.4,553,5671,25,1
Device 03,2024-01-23 12:23:47,7.4,552,5670,26,1
Device 03,2024-01-23 12:53:47,7.4,550,5668,26,1
Device 03,2024-01-23 13:23:48,7.4,549,5660,26,1
Device 03,2024-01-23 13:24:20,7.4,549,5783,26,1
Device 03,2024-01-23 13:25:21,7.4,550,5664,26,1
Device 03,2024-01-23 13:53:48,7.3,540,5624,26,1
Device 03,2024-01-23 14:23:48,7.4,539,5655,27,1
Device 03,2024-01-23 14:53:48,7.4,548,5671,27,1
Device 03,2024-01-23 15:23:48,7.4,551,5670,27,1
Device 03,2024-01-23 15:53:48,7.4,553,5649,27,1
Device 03,2024-01-23 16:23:49,7.4,556,5655,27,1
Device 03,2024-01-23 16:40:46,7.4,557,5651,27,1
Device 03,2024-01-23 16:53:49,7.4,557,5636,28,1
Device 03,2024-01-23 17:23:49,7.4,556,5634,28,1
Device 03,2024-01-23 17:53:49,7.4,557,5637,28,1
Device 03,2024-01-23 18:23:49,7.4,555,5634,28,1
Device 03,2024-01-23 18:53:49,7.4,547,5637,28,1
